Model,RMSLE,MSE,R²,Weight
Random Forest,0.061343222088247655,13.477813177486452,0.9965224071653945,0.33302325532153454
XGBoost,0.06089469843693068,13.039534485565984,0.9966354933774166,0.335476158616638
LightGBM,0.06162498761896602,13.015468037879176,0.9966417030870282,0.3315005860618274
Ensemble,0.059934111771764595,12.675507920713168,0.9967294207940433,N/A
