Model,MSE,RMSE,R²,RMSLE,CV RMSLE,Training Time (s)
Random Forest,14.609952515275165,3.8222967591848707,0.9962302885852494,0.06340838533969251,0.06389708597256782,899.9745402336121
XGBoost,13.95367050517983,3.73546121719659,0.9963996247813914,0.0681799387039244,0.06907269635297743,6.114481210708618
LightGBM,14.413990335093292,3.7965761331880716,0.9962808514372997,0.06868277577185795,0.07124941238879899,8.179093837738037
Decision Tree,26.50501196764928,5.148301852810233,0.9931610834423943,0.08617414341267479,0.08608525918469509,14.206165313720703
Polynomial Regression,19.169330667813753,4.378279418654519,0.9950538617729228,0.205061194543202,,0.9980459213256836
Lasso Regression,112.17656357952096,10.591343804235652,0.971055807898685,0.5630897376738309,0.5628071025651811,2.272758960723877
Ridge Regression,111.82995174797676,10.574968167705128,0.9711452419044762,0.5652318617445954,0.5649584540280245,1.5189926624298096
Simple Linear Regression,111.83023806153822,10.574981705021443,0.9711451680288424,0.5652321116077562,0.564958792962891,1.7357184886932373
ElasticNet,135.02225929321702,11.619907886606374,0.9651610810116676,0.5724255352697132,0.5726139667133612,2.0039758682250977
