Model,RMSLE,MSE,R²,Weight
Random Forest,0.060358001675843896,13.236269617202433,0.9965847310857092,0.33496221844157015
XGBoost,0.06045391005983958,12.685541178119495,0.996726831977623,0.33443081054688567
LightGBM,0.061153127171461576,12.727905386924816,0.9967159010152298,0.3306069710115443
Stacking Ensemble,0.059909476928307455,12.554066379348807,0.9967607555683505,N/A
Weighted Ensemble,0.05983976678361205,12.605015341039193,0.9967476095377763,N/A
